sigma,tlow,thigh,width,height,mp,time,fps,psnr
0.60, 0.50, 0.90, 1300, 550, 2, 0.671186, 1.489900, 4.84
0.60, 0.50, 0.90, 1300, 1000, 0, 1.694818, 0.590034, 4.81
0.60, 0.50, 0.90, 1300, 1000, 1, 1.053332, 0.949368, 4.81
0.60, 0.50, 0.90, 1300, 1000, 2, 1.108156, 0.902400, 4.81
1.50, 0.20, 0.60, 400, 100, 0, 0.217766, 4.592085, 4.96
1.50, 0.20, 0.60, 400, 100, 1, 0.202994, 4.926254, 4.96
1.50, 0.20, 0.60, 400, 100, 2, 0.200255, 4.993633, 4.96
1.50, 0.20, 0.60, 400, 550, 0, 0.521569, 1.917292, 4.91
1.50, 0.20, 0.60, 400, 550, 1, 0.346380, 2.887003, 4.91
1.50, 0.20, 0.60, 400, 550, 2, 0.354592, 2.820143, 4.91
1.50, 0.20, 0.60, 400, 1000, 0, 0.802448, 1.246187, 4.87
1.50, 0.20, 0.60, 400, 1000, 1, 0.490788, 2.037540, 4.87
1.50, 0.20, 0.60, 400, 1000, 2, 0.497792, 2.008871, 4.87
1.50, 0.20, 0.60, 850, 100, 0, 0.307324, 3.253895, 4.97
1.50, 0.20, 0.60, 850, 100, 1, 0.241425, 4.142073, 4.98
1.50, 0.20, 0.60, 850, 100, 2, 0.245614, 4.071429, 4.97
1.50, 0.20, 0.60, 850, 550, 0, 0.916493, 1.091116, 4.87
1.50, 0.20, 0.60, 850, 550, 1, 0.543428, 1.840170, 4.87
1.50, 0.20, 0.60, 850, 550, 2, 0.541158, 1.847889, 4.87
1.50, 0.20, 0.60, 850, 1000, 0, 1.527780, 0.654545, 4.85
1.50, 0.20, 0.60, 850, 1000, 1, 0.858367, 1.165003, 4.85
1.50, 0.20, 0.60, 850, 1000, 2, 0.886443, 1.128104, 4.85
1.50, 0.20, 0.60, 1300, 100, 0, 0.389123, 2.569882, 4.96
1.50, 0.20, 0.60, 1300, 100, 1, 0.282932, 3.534418, 4.96
1.50, 0.20, 0.60, 1300, 100, 2, 0.283554, 3.526665, 4.96
1.50, 0.20, 0.60, 1300, 550, 0, 1.328503, 0.752727, 4.87
1.50, 0.20, 0.60, 1300, 550, 1, 0.756446, 1.321971, 4.86
1.50, 0.20, 0.60, 1300, 550, 2, 0.752936, 1.328134, 4.87
1.50, 0.20, 0.60, 1300, 1000, 0, 2.268432, 0.440833, 4.84
1.50, 0.20, 0.60, 1300, 1000, 1, 1.198421, 0.834431, 4.84
1.50, 0.20, 0.60, 1300, 1000, 2, 1.273839, 0.785029, 4.84
1.50, 0.20, 0.75, 400, 100, 0, 0.209662, 4.769582, 4.95
1.50, 0.20, 0.75, 400, 100, 1, 0.202895, 4.928658, 4.95
1.50, 0.20, 0.75, 400, 100, 2, 0.178346, 5.607078, 4.95
1.50, 0.20, 0.75, 400, 550, 0, 0.492680, 2.029715, 4.90
1.50, 0.20, 0.75, 400, 550, 1, 0.349599, 2.860420, 4.90
1.50, 0.20, 0.75, 400, 550, 2, 0.330639, 3.024447, 4.90
1.50, 0.20, 0.75, 400, 1000, 0, 0.775669, 1.289210, 4.88
1.50, 0.20, 0.75, 400, 1000, 1, 0.483431, 2.068548, 4.88
1.50, 0.20, 0.75, 400, 1000, 2, 0.499103, 2.003594, 4.88
1.50, 0.20, 0.75, 850, 100, 0, 0.306708, 3.260430, 4.93
1.50, 0.20, 0.75, 850, 100, 1, 0.238765, 4.188219, 4.94
1.50, 0.20, 0.75, 850, 100, 2, 0.237471, 4.211041, 4.93
1.50, 0.20, 0.75, 850, 550, 0, 0.900263, 1.110787, 4.88
1.50, 0.20, 0.75, 850, 550, 1, 0.540536, 1.850016, 4.87
1.50, 0.20, 0.75, 850, 550, 2, 0.553155, 1.807812, 4.88
1.50, 0.20, 0.75, 850, 1000, 0, 1.524371, 0.656008, 4.86
1.50, 0.20, 0.75, 850, 1000, 1, 0.844321, 1.184384, 4.86
1.50, 0.20, 0.75, 850, 1000, 2, 0.870044, 1.149367, 4.86
1.50, 0.20, 0.75, 1300, 100, 0, 0.369646, 2.705291, 4.92
1.50, 0.20, 0.75, 1300, 100, 1, 0.256379, 3.900475, 4.92
1.50, 0.20, 0.75, 1300, 100, 2, 0.265223, 3.770412, 4.92
1.50, 0.20, 0.75, 1300, 550, 0, 1.315052, 0.760426, 4.87
1.50, 0.20, 0.75, 1300, 550, 1, 0.739307, 1.352618, 4.86
1.50, 0.20, 0.75, 1300, 550, 2, 0.762872, 1.310836, 4.87
1.50, 0.20, 0.75, 1300, 1000, 0, 2.257960, 0.442878, 4.84
1.50, 0.20, 0.75, 1300, 1000, 1, 1.195766, 0.836284, 4.84
1.50, 0.20, 0.75, 1300, 1000, 2, 1.259102, 0.794217, 4.84
1.50, 0.20, 0.90, 400, 100, 0, 0.236004, 4.237216, 4.90
1.50, 0.20, 0.90, 400, 100, 1, 0.200715, 4.982189, 4.90
1.50, 0.20, 0.90, 400, 100, 2, 0.195610, 5.112213, 4.90
1.50, 0.20, 0.90, 400, 550, 0, 0.512722, 1.950375, 4.86
1.50, 0.20, 0.90, 400, 550, 1, 0.344804, 2.900198, 4.85
1.50, 0.20, 0.90, 400, 550, 2, 0.347655, 2.876415, 4.86
1.50, 0.20, 0.90, 400, 1000, 0, 0.793631, 1.260031, 4.83
1.50, 0.20, 0.90, 400, 1000, 1, 0.460032, 2.173762, 4.83
1.50, 0.20, 0.90, 400, 1000, 2, 0.487126, 2.052857, 4.83
1.50, 0.20, 0.90, 850, 100, 0, 0.279751, 3.574607, 4.85
1.50, 0.20, 0.90, 850, 100, 1, 0.238890, 4.186027, 4.86
1.50, 0.20, 0.90, 850, 100, 2, 0.230742, 4.333845, 4.85
1.50, 0.20, 0.90, 850, 550, 0, 0.897355, 1.114386, 4.85
1.50, 0.20, 0.90, 850, 550, 1, 0.540487, 1.850183, 4.84
1.50, 0.20, 0.90, 850, 550, 2, 0.554722, 1.802705, 4.85
1.50, 0.20, 0.90, 850, 1000, 0, 1.506879, 0.663623, 4.82
1.50, 0.20, 0.90, 850, 1000, 1, 0.806833, 1.239414, 4.82
1.50, 0.20, 0.90, 850, 1000, 2, 0.835542, 1.196828, 4.82
1.50, 0.20, 0.90, 1300, 100, 0, 0.382813, 2.612241, 4.84
1.50, 0.20, 0.90, 1300, 100, 1, 0.280766, 3.561685, 4.84
1.50, 0.20, 0.90, 1300, 100, 2, 0.283273, 3.530163, 4.84
1.50, 0.20, 0.90, 1300, 550, 0, 1.302657, 0.767662, 4.84
1.50, 0.20, 0.90, 1300, 550, 1, 0.727336, 1.374880, 4.83
1.50, 0.20, 0.90, 1300, 550, 2, 0.757275, 1.320524, 4.84
1.50, 0.20, 0.90, 1300, 1000, 0, 2.254428, 0.443571, 4.81
1.50, 0.20, 0.90, 1300, 1000, 1, 1.176496, 0.849982, 4.81
1.50, 0.20, 0.90, 1300, 1000, 2, 1.226366, 0.815417, 4.81
1.50, 0.35, 0.60, 400, 100, 0, 0.221952, 4.505479, 4.97
1.50, 0.35, 0.60, 400, 100, 1, 0.199318, 5.017108, 4.97
1.50, 0.35, 0.60, 400, 100, 2, 0.203084, 4.924071, 4.97
1.50, 0.35, 0.60, 400, 550, 0, 0.523773, 1.909224, 4.91
1.50, 0.35, 0.60, 400, 550, 1, 0.341810, 2.925602, 4.91
1.50, 0.35, 0.60, 400, 550, 2, 0.348495, 2.869482, 4.91
1.50, 0.35, 0.60, 400, 1000, 0, 0.805391, 1.241633, 4.87
1.50, 0.35, 0.60, 400, 1000, 1, 0.490455, 2.038923, 4.87
1.50, 0.35, 0.60, 400, 1000, 2, 0.578126, 1.729727, 4.87
1.50, 0.35, 0.60, 850, 100, 0, 0.309260, 3.233525, 4.98
1.50, 0.35, 0.60, 850, 100, 1, 0.245606, 4.071562, 4.98
1.50, 0.35, 0.60, 850, 100, 2, 0.242133, 4.129962, 4.98
1.50, 0.35, 0.60, 850, 550, 0, 0.934757, 1.069797, 4.88
1.50, 0.35, 0.60, 850, 550, 1, 0.553756, 1.805850, 4.88
