sigma,tlow,thigh,width,height,mp,time,fps,psnr
0.60, 0.35, 0.90, 400, 550, 0, 7.857930, 3.817799, 3.69
0.60, 0.35, 0.90, 400, 550, 1, 4.883432, 6.143221, 3.69
0.60, 0.35, 0.90, 400, 550, 2, 5.230295, 5.735814, 3.69
0.60, 0.35, 0.90, 400, 1000, 0, 14.119053, 2.124788, 3.67
0.60, 0.35, 0.90, 400, 1000, 1, 8.642598, 3.471178, 3.67
0.60, 0.35, 0.90, 400, 1000, 2, 9.256310, 3.241032, 3.67
0.60, 0.35, 0.90, 850, 100, 0, 3.347569, 8.961727, 3.72
0.60, 0.35, 0.90, 850, 100, 1, 2.176977, 13.780577, 3.71
0.60, 0.35, 0.90, 850, 100, 2, 2.217853, 13.526595, 3.72
0.60, 0.35, 0.90, 850, 550, 0, 16.693910, 1.797063, 3.66
0.60, 0.35, 0.90, 850, 550, 1, 10.062765, 2.981288, 3.65
0.60, 0.35, 0.90, 850, 550, 2, 10.836872, 2.768327, 3.66
0.60, 0.35, 0.90, 850, 1000, 0, 30.173960, 0.994235, 3.64
0.60, 0.35, 0.90, 850, 1000, 1, 18.373063, 1.632825, 3.64
0.60, 0.35, 0.90, 850, 1000, 2, 19.258489, 1.557755, 3.64
0.60, 0.35, 0.90, 1300, 100, 0, 4.815193, 6.230280, 3.72
0.60, 0.35, 0.90, 1300, 100, 1, 3.028706, 9.905220, 3.72
0.60, 0.35, 0.90, 1300, 100, 2, 3.191710, 9.399350, 3.72
0.60, 0.35, 0.90, 1300, 550, 0, 25.258653, 1.187712, 3.66
0.60, 0.35, 0.90, 1300, 550, 1, 15.712190, 1.909346, 3.65
0.60, 0.35, 0.90, 1300, 550, 2, 16.388362, 1.830567, 3.66
0.60, 0.35, 0.90, 1300, 1000, 0, 45.820177, 0.654733, 3.64
0.60, 0.35, 0.90, 1300, 1000, 1, 27.649707, 1.085002, 3.64
0.60, 0.35, 0.90, 1300, 1000, 2, 29.720148, 1.009416, 3.64
0.60, 0.50, 0.60, 400, 100, 0, 1.880856, 15.950184, 3.93
0.60, 0.50, 0.60, 400, 100, 1, 1.271729, 23.589932, 3.93
0.60, 0.50, 0.60, 400, 100, 2, 1.333920, 22.490104, 3.93
0.60, 0.50, 0.60, 400, 550, 0, 8.016352, 3.742351, 3.79
0.60, 0.50, 0.60, 400, 550, 1, 5.116380, 5.863521, 3.79
0.60, 0.50, 0.60, 400, 550, 2, 5.233332, 5.732486, 3.79
0.60, 0.50, 0.60, 400, 1000, 0, 14.497912, 2.069263, 3.77
0.60, 0.50, 0.60, 400, 1000, 1, 9.022805, 3.324908, 3.77
0.60, 0.50, 0.60, 400, 1000, 2, 9.582417, 3.130734, 3.77
0.60, 0.50, 0.60, 850, 100, 0, 3.447879, 8.701001, 3.91
0.60, 0.50, 0.60, 850, 100, 1, 2.351841, 12.755964, 3.91
0.60, 0.50, 0.60, 850, 100, 2, 2.356023, 12.733322, 3.91
0.60, 0.50, 0.60, 850, 550, 0, 17.094878, 1.754912, 3.78
0.60, 0.50, 0.60, 850, 550, 1, 10.664853, 2.812978, 3.77
0.60, 0.50, 0.60, 850, 550, 2, 11.156049, 2.689124, 3.78
0.60, 0.50, 0.60, 850, 1000, 0, 30.834450, 0.972938, 3.76
0.60, 0.50, 0.60, 850, 1000, 1, 19.335105, 1.551582, 3.76
0.60, 0.50, 0.60, 850, 1000, 2, 20.418220, 1.469276, 3.76
0.60, 0.50, 0.60, 1300, 100, 0, 4.988981, 6.013252, 3.90
0.60, 0.50, 0.60, 1300, 100, 1, 3.305121, 9.076824, 3.90
0.60, 0.50, 0.60, 1300, 100, 2, 3.551642, 8.446797, 3.90
0.60, 0.50, 0.60, 1300, 550, 0, 25.850651, 1.160512, 3.77
0.60, 0.50, 0.60, 1300, 550, 1, 16.455628, 1.823084, 3.76
0.60, 0.50, 0.60, 1300, 550, 2, 17.040204, 1.760542, 3.77
0.60, 0.50, 0.60, 1300, 1000, 0, 46.937593, 0.639147, 3.76
0.60, 0.50, 0.60, 1300, 1000, 1, 28.989979, 1.034840, 3.76
0.60, 0.50, 0.60, 1300, 1000, 2, 31.272311, 0.959315, 3.76
0.60, 0.50, 0.75, 400, 100, 0, 1.807751, 16.595206, 3.87
0.60, 0.50, 0.75, 400, 100, 1, 1.255644, 23.892122, 3.87
0.60, 0.50, 0.75, 400, 100, 2, 1.337557, 22.428951, 3.87
0.60, 0.50, 0.75, 400, 550, 0, 7.984426, 3.757315, 3.74
0.60, 0.50, 0.75, 400, 550, 1, 4.989809, 6.012254, 3.73
0.60, 0.50, 0.75, 400, 550, 2, 5.155365, 5.819181, 3.74
0.60, 0.50, 0.75, 400, 1000, 0, 14.275559, 2.101494, 3.71
0.60, 0.50, 0.75, 400, 1000, 1, 8.912154, 3.366190, 3.71
0.60, 0.50, 0.75, 400, 1000, 2, 9.570671, 3.134576, 3.71
0.60, 0.50, 0.75, 850, 100, 0, 3.398154, 8.828323, 3.84
0.60, 0.50, 0.75, 850, 100, 1, 2.236643, 13.412959, 3.84
0.60, 0.50, 0.75, 850, 100, 2, 2.261176, 13.267433, 3.84
0.60, 0.50, 0.75, 850, 550, 0, 16.903369, 1.774794, 3.72
0.60, 0.50, 0.75, 850, 550, 1, 10.477918, 2.863164, 3.71
0.60, 0.50, 0.75, 850, 550, 2, 10.963744, 2.736292, 3.72
0.60, 0.50, 0.75, 850, 1000, 0, 30.527486, 0.982721, 3.70
0.60, 0.50, 0.75, 850, 1000, 1, 18.995445, 1.579326, 3.70
0.60, 0.50, 0.75, 850, 1000, 2, 19.903099, 1.507303, 3.70
0.60, 0.50, 0.75, 1300, 100, 0, 4.966091, 6.040969, 3.84
0.60, 0.50, 0.75, 1300, 100, 1, 3.154752, 9.509464, 3.84
0.60, 0.50, 0.75, 1300, 100, 2, 3.188589, 9.408550, 3.84
0.60, 0.50, 0.75, 1300, 550, 0, 25.629856, 1.170510, 3.71
0.60, 0.50, 0.75, 1300, 550, 1, 16.045045, 1.869736, 3.70
0.60, 0.50, 0.75, 1300, 550, 2, 16.705492, 1.795817, 3.71
0.60, 0.50, 0.75, 1300, 1000, 0, 46.217897, 0.649099, 3.70
0.60, 0.50, 0.75, 1300, 1000, 1, 28.437389, 1.054949, 3.70
0.60, 0.50, 0.75, 1300, 1000, 2, 30.290414, 0.990412, 3.70
0.60, 0.50, 0.90, 400, 100, 0, 1.848070, 16.233151, 3.72
0.60, 0.50, 0.90, 400, 100, 1, 1.204348, 24.909744, 3.72
0.60, 0.50, 0.90, 400, 100, 2, 1.199268, 25.015259, 3.72
0.60, 0.50, 0.90, 400, 550, 0, 7.799544, 3.846379, 3.68
0.60, 0.50, 0.90, 400, 550, 1, 4.825887, 6.216474, 3.67
0.60, 0.50, 0.90, 400, 550, 2, 5.015079, 5.981960, 3.68
0.60, 0.50, 0.90, 400, 1000, 0, 14.131815, 2.122870, 3.66
0.60, 0.50, 0.90, 400, 1000, 1, 8.679365, 3.456474, 3.66
0.60, 0.50, 0.90, 400, 1000, 2, 9.143417, 3.281049, 3.66
0.60, 0.50, 0.90, 850, 100, 0, 3.322495, 9.029359, 3.71
0.60, 0.50, 0.90, 850, 100, 1, 2.162007, 13.875996, 3.70
0.60, 0.50, 0.90, 850, 100, 2, 2.206216, 13.597943, 3.71
0.60, 0.50, 0.90, 850, 550, 0, 16.711574, 1.795163, 3.65
0.60, 0.50, 0.90, 850, 550, 1, 10.382203, 2.889560, 3.65
0.60, 0.50, 0.90, 850, 550, 2, 10.631789, 2.821726, 3.65
0.60, 0.50, 0.90, 850, 1000, 0, 29.878984, 1.004050, 3.64
0.60, 0.50, 0.90, 850, 1000, 1, 18.271215, 1.641927, 3.64
0.60, 0.50, 0.90, 850, 1000, 2, 19.326444, 1.552277, 3.64
0.60, 0.50, 0.90, 1300, 100, 0, 4.793575, 6.258377, 3.71
0.60, 0.50, 0.90, 1300, 100, 1, 3.124343, 9.602019, 3.71
0.60, 0.50, 0.90, 1300, 100, 2, 3.111610, 9.641311, 3.71
0.60, 0.50, 0.90, 1300, 550, 0, 25.523130, 1.175404, 3.65
0.60, 0.50, 0.90, 1300, 550, 1, 15.395957, 1.948564, 3.64
0.60, 0.50, 0.90, 1300, 550, 2, 16.023088, 1.872298, 3.65
0.60, 0.50, 0.90, 1300, 1000, 0, 45.896760, 0.653641, 3.64
0.60, 0.50, 0.90, 1300, 1000, 1, 27.693051, 1.083304, 3.64
0.60, 0.50, 0.90, 1300, 1000, 2, 29.114932, 1.030399, 3.64
1.50, 0.20, 0.60, 400, 100, 0, 2.298299, 13.053132, 3.88
1.50, 0.20, 0.60, 400, 100, 1, 1.369572, 21.904653, 3.88
1.50, 0.20, 0.60, 400, 100, 2, 1.393699, 21.525451, 3.88
1.50, 0.20, 0.60, 400, 550, 0, 10.621106, 2.824565, 3.76
1.50, 0.20, 0.60, 400, 550, 1, 5.738808, 5.227566, 3.75
1.50, 0.20, 0.60, 400, 550, 2, 6.141939, 4.884451, 3.76
1.50, 0.20, 0.60, 400, 1000, 0, 19.325203, 1.552377, 3.74
1.50, 0.20, 0.60, 400, 1000, 1, 10.334258, 2.902966, 3.74
1.50, 0.20, 0.60, 400, 1000, 2, 11.243454, 2.668219, 3.74
1.50, 0.20, 0.60, 850, 100, 0, 4.435619, 6.763430, 3.85
1.50, 0.20, 0.60, 850, 100, 1, 2.578614, 11.634157, 3.85
1.50, 0.20, 0.60, 850, 100, 2, 2.623630, 11.434539, 3.85
1.50, 0.20, 0.60, 850, 550, 0, 22.749628, 1.318703, 3.72
1.50, 0.20, 0.60, 850, 550, 1, 12.214931, 2.456011, 3.72
1.50, 0.20, 0.60, 850, 550, 2, 12.980490, 2.311161, 3.72
1.50, 0.20, 0.60, 850, 1000, 0, 41.143994, 0.729147, 3.70
1.50, 0.20, 0.60, 850, 1000, 1, 22.053593, 1.360323, 3.70
1.50, 0.20, 0.60, 850, 1000, 2, 23.798356, 1.260591, 3.70
1.50, 0.20, 0.60, 1300, 100, 0, 6.526660, 4.596532, 3.85
1.50, 0.20, 0.60, 1300, 100, 1, 3.625764, 8.274118, 3.85
1.50, 0.20, 0.60, 1300, 100, 2, 3.728814, 8.045454, 3.85
1.50, 0.20, 0.60, 1300, 550, 0, 34.773738, 0.862720, 3.71
1.50, 0.20, 0.60, 1300, 550, 1, 18.778007, 1.597614, 3.71
1.50, 0.20, 0.60, 1300, 550, 2, 19.768050, 1.517600, 3.71
1.50, 0.20, 0.60, 1300, 1000, 0, 63.533912, 0.472189, 3.70
1.50, 0.20, 0.60, 1300, 1000, 1, 33.762915, 0.888549, 3.70
1.50, 0.20, 0.60, 1300, 1000, 2, 36.526053, 0.821332, 3.70
1.50, 0.20, 0.75, 400, 100, 0, 2.285245, 13.127695, 3.84
1.50, 0.20, 0.75, 400, 100, 1, 1.362618, 22.016442, 3.84
1.50, 0.20, 0.75, 400, 100, 2, 1.398428, 21.452660, 3.84
1.50, 0.20, 0.75, 400, 550, 0, 10.620661, 2.824683, 3.73
1.50, 0.20, 0.75, 400, 550, 1, 5.716871, 5.247626, 3.73
1.50, 0.20, 0.75, 400, 550, 2, 6.058817, 4.951462, 3.73
1.50, 0.20, 0.75, 400, 1000, 0, 19.175567, 1.564491, 3.72
