sigma,tlow,thigh,width,height,mp,time,fps,psnr
0.60, 0.50, 0.60, 1300, 550, 2, 16.712520, 1.795061, 7.99
0.60, 0.50, 0.60, 1300, 1000, 0, 46.829082, 0.640628, 7.89
0.60, 0.50, 0.60, 1300, 1000, 1, 28.019191, 1.070695, 7.89
0.60, 0.50, 0.60, 1300, 1000, 2, 29.345901, 1.022289, 7.89
0.60, 0.50, 0.75, 400, 100, 0, 2.280526, 13.154860, 8.19
0.60, 0.50, 0.75, 400, 100, 1, 1.702153, 17.624738, 8.19
0.60, 0.50, 0.75, 400, 100, 2, 1.708875, 17.555409, 8.19
0.60, 0.50, 0.75, 400, 550, 0, 8.371905, 3.583414, 8.16
0.60, 0.50, 0.75, 400, 550, 1, 5.419417, 5.535651, 8.15
0.60, 0.50, 0.75, 400, 550, 2, 5.394271, 5.561456, 8.16
0.60, 0.50, 0.75, 400, 1000, 0, 14.778085, 2.030033, 8.18
0.60, 0.50, 0.75, 400, 1000, 1, 9.019655, 3.326070, 8.18
0.60, 0.50, 0.75, 400, 1000, 2, 9.472703, 3.166995, 8.18
0.60, 0.50, 0.75, 850, 100, 0, 3.936625, 7.620741, 8.18
0.60, 0.50, 0.75, 850, 100, 1, 2.765493, 10.847975, 8.17
0.60, 0.50, 0.75, 850, 100, 2, 2.731308, 10.983748, 8.18
0.60, 0.50, 0.75, 850, 550, 0, 17.085094, 1.755917, 8.15
0.60, 0.50, 0.75, 850, 550, 1, 10.522929, 2.850917, 8.14
0.60, 0.50, 0.75, 850, 550, 2, 10.830709, 2.769902, 8.15
0.60, 0.50, 0.75, 850, 1000, 0, 30.676338, 0.977952, 8.18
0.60, 0.50, 0.75, 850, 1000, 1, 18.245012, 1.644285, 8.17
0.60, 0.50, 0.75, 850, 1000, 2, 19.009260, 1.578178, 8.18
0.60, 0.50, 0.75, 1300, 100, 0, 5.347083, 5.610536, 8.15
0.60, 0.50, 0.75, 1300, 100, 1, 3.570917, 8.401203, 8.15
0.60, 0.50, 0.75, 1300, 100, 2, 3.600286, 8.332671, 8.15
0.60, 0.50, 0.75, 1300, 550, 0, 25.807304, 1.162462, 8.15
0.60, 0.50, 0.75, 1300, 550, 1, 15.453625, 1.941292, 8.14
0.60, 0.50, 0.75, 1300, 550, 2, 15.861641, 1.891355, 8.15
0.60, 0.50, 0.75, 1300, 1000, 0, 46.379618, 0.646836, 8.17
0.60, 0.50, 0.75, 1300, 1000, 1, 27.426715, 1.093824, 8.17
0.60, 0.50, 0.75, 1300, 1000, 2, 29.515786, 1.016405, 8.17
0.60, 0.50, 0.90, 400, 100, 0, 2.265890, 13.239831, 8.34
0.60, 0.50, 0.90, 400, 100, 1, 1.689030, 17.761674, 8.34
0.60, 0.50, 0.90, 400, 100, 2, 1.697707, 17.670894, 8.34
0.60, 0.50, 0.90, 400, 550, 0, 8.280560, 3.622943, 8.29
0.60, 0.50, 0.90, 400, 550, 1, 5.199718, 5.769544, 8.29
0.60, 0.50, 0.90, 400, 550, 2, 5.299621, 5.660782, 8.29
0.60, 0.50, 0.90, 400, 1000, 0, 14.584323, 2.057003, 8.29
0.60, 0.50, 0.90, 400, 1000, 1, 8.987235, 3.338068, 8.29
0.60, 0.50, 0.90, 400, 1000, 2, 9.143738, 3.280934, 8.29
0.60, 0.50, 0.90, 850, 100, 0, 3.841041, 7.810383, 8.27
0.60, 0.50, 0.90, 850, 100, 1, 2.760338, 10.868234, 8.26
0.60, 0.50, 0.90, 850, 100, 2, 2.711768, 11.062893, 8.27
0.60, 0.50, 0.90, 850, 550, 0, 17.044910, 1.760056, 8.27
0.60, 0.50, 0.90, 850, 550, 1, 10.178411, 2.947415, 8.25
0.60, 0.50, 0.90, 850, 550, 2, 10.720260, 2.798440, 8.27
0.60, 0.50, 0.90, 850, 1000, 0, 30.128710, 0.995728, 8.26
0.60, 0.50, 0.90, 850, 1000, 1, 17.941245, 1.672125, 8.25
0.60, 0.50, 0.90, 850, 1000, 2, 18.728926, 1.601800, 8.26
0.60, 0.50, 0.90, 1300, 100, 0, 5.278396, 5.683545, 8.24
0.60, 0.50, 0.90, 1300, 100, 1, 3.600169, 8.332942, 8.24
0.60, 0.50, 0.90, 1300, 100, 2, 3.573020, 8.396259, 8.24
0.60, 0.50, 0.90, 1300, 550, 0, 25.785446, 1.163447, 8.26
0.60, 0.50, 0.90, 1300, 550, 1, 15.106731, 1.985870, 8.25
0.60, 0.50, 0.90, 1300, 550, 2, 15.531201, 1.931596, 8.26
0.60, 0.50, 0.90, 1300, 1000, 0, 45.637638, 0.657352, 8.26
0.60, 0.50, 0.90, 1300, 1000, 1, 27.084529, 1.107643, 8.26
0.60, 0.50, 0.90, 1300, 1000, 2, 27.873655, 1.076285, 8.26
1.50, 0.20, 0.60, 400, 100, 0, 2.761137, 10.865089, 8.07
1.50, 0.20, 0.60, 400, 100, 1, 2.016142, 14.879904, 8.07
1.50, 0.20, 0.60, 400, 100, 2, 1.872193, 16.023989, 8.07
1.50, 0.20, 0.60, 400, 550, 0, 11.079022, 2.707820, 8.05
1.50, 0.20, 0.60, 400, 550, 1, 6.018961, 4.984249, 8.06
1.50, 0.20, 0.60, 400, 550, 2, 6.212449, 4.829013, 8.05
1.50, 0.20, 0.60, 400, 1000, 0, 19.733127, 1.520286, 8.04
1.50, 0.20, 0.60, 400, 1000, 1, 10.293673, 2.914412, 8.04
1.50, 0.20, 0.60, 400, 1000, 2, 10.904717, 2.751103, 8.04
1.50, 0.20, 0.60, 850, 100, 0, 4.906646, 6.114156, 7.98
1.50, 0.20, 0.60, 850, 100, 1, 3.020785, 9.931193, 7.91
1.50, 0.20, 0.60, 850, 100, 2, 3.013140, 9.956391, 7.98
1.50, 0.20, 0.60, 850, 550, 0, 23.059025, 1.301009, 8.04
1.50, 0.20, 0.60, 850, 550, 1, 12.155273, 2.468065, 8.03
1.50, 0.20, 0.60, 850, 550, 2, 12.449768, 2.409683, 8.04
1.50, 0.20, 0.60, 850, 1000, 0, 41.473055, 0.723361, 8.03
1.50, 0.20, 0.60, 850, 1000, 1, 21.652480, 1.385523, 8.01
1.50, 0.20, 0.60, 850, 1000, 2, 22.021437, 1.362309, 8.03
1.50, 0.20, 0.60, 1300, 100, 0, 6.990811, 4.291348, 7.97
1.50, 0.20, 0.60, 1300, 100, 1, 4.055273, 7.397776, 7.97
1.50, 0.20, 0.60, 1300, 100, 2, 4.034623, 7.435639, 7.97
1.50, 0.20, 0.60, 1300, 550, 0, 35.381285, 0.847906, 8.05
1.50, 0.20, 0.60, 1300, 550, 1, 18.067072, 1.660479, 8.05
1.50, 0.20, 0.60, 1300, 550, 2, 18.634693, 1.609900, 8.05
1.50, 0.20, 0.60, 1300, 1000, 0, 63.609165, 0.471630, 8.04
1.50, 0.20, 0.60, 1300, 1000, 1, 31.797696, 0.943465, 8.04
1.50, 0.20, 0.60, 1300, 1000, 2, 33.834101, 0.886679, 8.04
1.50, 0.20, 0.75, 400, 100, 0, 2.779784, 10.792205, 8.12
1.50, 0.20, 0.75, 400, 100, 1, 1.852519, 16.194166, 8.12
1.50, 0.20, 0.75, 400, 100, 2, 1.831526, 16.379784, 8.12
1.50, 0.20, 0.75, 400, 550, 0, 11.011973, 2.724307, 8.19
1.50, 0.20, 0.75, 400, 550, 1, 6.175922, 4.857574, 8.19
1.50, 0.20, 0.75, 400, 550, 2, 6.196969, 4.841076, 8.19
1.50, 0.20, 0.75, 400, 1000, 0, 19.556836, 1.533990, 8.20
1.50, 0.20, 0.75, 400, 1000, 1, 10.211404, 2.937892, 8.20
1.50, 0.20, 0.75, 400, 1000, 2, 10.670947, 2.811372, 8.20
1.50, 0.20, 0.75, 850, 100, 0, 4.901027, 6.121166, 8.10
1.50, 0.20, 0.75, 850, 100, 1, 3.019493, 9.935443, 8.09
1.50, 0.20, 0.75, 850, 100, 2, 3.008967, 9.970199, 8.10
1.50, 0.20, 0.75, 850, 550, 0, 23.066419, 1.300592, 8.15
1.50, 0.20, 0.75, 850, 550, 1, 11.893313, 2.522426, 8.13
1.50, 0.20, 0.75, 850, 550, 2, 12.488795, 2.402153, 8.15
1.50, 0.20, 0.75, 850, 1000, 0, 41.192789, 0.728283, 8.18
1.50, 0.20, 0.75, 850, 1000, 1, 20.999548, 1.428602, 8.17
1.50, 0.20, 0.75, 850, 1000, 2, 21.886626, 1.370700, 8.18
1.50, 0.20, 0.75, 1300, 100, 0, 7.052450, 4.253841, 8.08
1.50, 0.20, 0.75, 1300, 100, 1, 3.997450, 7.504784, 8.08
1.50, 0.20, 0.75, 1300, 100, 2, 4.380526, 6.848493, 8.08
1.50, 0.20, 0.75, 1300, 550, 0, 34.986422, 0.857476, 8.14
1.50, 0.20, 0.75, 1300, 550, 1, 17.882591, 1.677609, 8.13
1.50, 0.20, 0.75, 1300, 550, 2, 18.708978, 1.603508, 8.14
1.50, 0.20, 0.75, 1300, 1000, 0, 63.474968, 0.472627, 8.18
1.50, 0.20, 0.75, 1300, 1000, 1, 31.922250, 0.939783, 8.18
1.50, 0.20, 0.75, 1300, 1000, 2, 33.602668, 0.892786, 8.18
1.50, 0.20, 0.90, 400, 100, 0, 2.761028, 10.865518, 8.31
1.50, 0.20, 0.90, 400, 100, 1, 1.854975, 16.172725, 8.31
1.50, 0.20, 0.90, 400, 100, 2, 1.962776, 15.284475, 8.31
1.50, 0.20, 0.90, 400, 550, 0, 10.947514, 2.740348, 8.29
1.50, 0.20, 0.90, 400, 550, 1, 5.913749, 5.072924, 8.29
1.50, 0.20, 0.90, 400, 550, 2, 6.117434, 4.904017, 8.29
1.50, 0.20, 0.90, 400, 1000, 0, 19.391554, 1.547065, 8.28
1.50, 0.20, 0.90, 400, 1000, 1, 10.050871, 2.984816, 8.28
1.50, 0.20, 0.90, 400, 1000, 2, 10.540695, 2.846112, 8.28
1.50, 0.20, 0.90, 850, 100, 0, 4.915112, 6.103625, 8.24
1.50, 0.20, 0.90, 850, 100, 1, 3.006342, 9.978905, 8.24
1.50, 0.20, 0.90, 850, 100, 2, 2.946024, 10.183216, 8.24
1.50, 0.20, 0.90, 850, 550, 0, 22.728110, 1.319951, 8.26
1.50, 0.20, 0.90, 850, 550, 1, 11.957540, 2.508877, 8.25
1.50, 0.20, 0.90, 850, 550, 2, 12.180725, 2.462908, 8.26
1.50, 0.20, 0.90, 850, 1000, 0, 41.239111, 0.727465, 8.25
1.50, 0.20, 0.90, 850, 1000, 1, 21.053335, 1.424952, 8.24
1.50, 0.20, 0.90, 850, 1000, 2, 21.559094, 1.391524, 8.25
1.50, 0.20, 0.90, 1300, 100, 0, 6.982797, 4.296273, 8.20
1.50, 0.20, 0.90, 1300, 100, 1, 3.974216, 7.548659, 8.20
1.50, 0.20, 0.90, 1300, 100, 2, 3.987505, 7.523502, 8.20
1.50, 0.20, 0.90, 1300, 550, 0, 34.825784, 0.861431, 8.25
1.50, 0.20, 0.90, 1300, 550, 1, 17.768028, 1.688426, 8.25
1.50, 0.20, 0.90, 1300, 550, 2, 18.563922, 1.616038, 8.25
1.50, 0.20, 0.90, 1300, 1000, 0, 63.063113, 0.475714, 8.25
